category,words
affect,(: 
posemo,(: 
affect,): 
negemo,): 
leisure,3ds 
affect,:( 
negemo,:( 
affect,:) 
posemo,:) 
function,a 
article,a 
drives,a-list* 
power,a-list* 
affect,abandon* 
negemo,abandon* 
sad,abandon* 
bio,abdomen* 
body,abdomen* 
drives,abilit* 
achiev,abilit* 
drives,able 
achiev,able 
adj,abnormal* 
cogproc,abnormal* 
discrep,abnormal* 
bio,abortion* 
health,abortion* 
sexual,abortion* 
function,about 
prep,about 
adverb,about 
function,above 
prep,above 
drives,above 
power,above 
relativ,above 
space,above 
relativ,abrupt* 
time,abrupt* 
bio,abs 
body,abs 
work,absent* 
cogproc,absolute 
certain,absolute 
function,absolutely 
adverb,absolutely 
cogproc,absolutely 
certain,absolutely 
drives,abstain* 
risk,abstain* 
function,abt 
prep,abt 
affect,abuse* 
negemo,abuse* 
anger,abuse* 
affect,abusi* 
negemo,abusi* 
anger,abusi* 
work,academia 
adj,academic 
work,academic 
work,academics 
work,academies 
work,academy 
verb,accept 
affect,accept 
posemo,accept 
cogproc,accept 
insight,accept 
affect,accepta* 
posemo,accepta* 
cogproc,accepta* 
insight,accepta* 
verb,accepted 
affect,accepted 
posemo,accepted 
cogproc,accepted 
insight,accepted 
focuspast,accepted 
affect,accepting 
posemo,accepting 
cogproc,accepting 
insight,accepting 
verb,accepts 
affect,accepts 
posemo,accepts 
cogproc,accepts 
insight,accepts 
drives,access* 
reward,access* 
drives,acclaimed 
power,acclaimed 
drives,accompan* 
affiliation,accompan* 
social,accomplice* 
friend,accomplice* 
drives,accomplice* 
affiliation,accomplice* 
drives,accomplish* 
achiev,accomplish* 
work,accomplish* 
money,account* 
drives,accrue* 
reward,accrue* 
money,accrue* 
drives,accumul* 
reward,accumul* 
cogproc,accura* 
certain,accura* 
drives,ace 
achiev,ace 
affect,ache* 
negemo,ache* 
percept,ache* 
feel,ache* 
bio,ache* 
health,ache* 
drives,achievable 
achiev,achievable 
reward,achievable 
work,achievable 
drives,achieve* 
achiev,achieve* 
reward,achieve* 
work,achieve* 
drives,achievi* 
achiev,achievi* 
reward,achievi* 
work,achievi* 
affect,aching* 
negemo,aching* 
percept,aching* 
feel,aching* 
bio,aching* 
health,aching* 
percept,acid* 
cogproc,acknowledg* 
insight,acknowledg* 
bio,acne 
health,acne 
social,acquainta* 
friend,acquainta* 
drives,acquir* 
achiev,acquir* 
reward,acquir* 
drives,acquisition* 
achiev,acquisition* 
percept,acrid* 
function,across 
prep,across 
relativ,across 
space,across 
relativ,action* 
motion,action* 
cogproc,activat* 
cause,activat* 
adj,active 
affect,active 
posemo,active 
affect,actively 
posemo,actively 
leisure,actor* 
leisure,actress* 
drives,actualiz* 
achiev,actualiz* 
function,actually 
adverb,actually 
cogproc,actually 
differ,actually 
quant,add 
drives,add 
reward,add 
focuspresent,add 
quant,added 
drives,added 
reward,added 
focuspast,added 
bio,addict* 
health,addict* 
quant,adding 
drives,adding 
reward,adding 
adj,additional 
home,address 
quant,adds 
drives,adds 
reward,adds 
focuspresent,adds 
drives,adequa* 
achiev,adequa* 
cogproc,adjust* 
differ,adjust* 
drives,administr* 
power,administr* 
work,administr* 
affect,admir* 
posemo,admir* 
verb,admit 
social,admit 
cogproc,admit 
insight,admit 
focuspresent,admit 
verb,admits 
social,admits 
cogproc,admits 
insight,admits 
focuspresent,admits 
verb,admitted 
social,admitted 
cogproc,admitted 
insight,admitted 
focuspast,admitted 
verb,admitting 
social,admitting 
cogproc,admitting 
insight,admitting 
affect,ador* 
posemo,ador* 
social,adult 
social,adults 
drives,advanc* 
achiev,advanc* 
reward,advanc* 
relativ,advanc* 
motion,advanc* 
affect,advantag* 
posemo,advantag* 
drives,advantag* 
achiev,advantag* 
reward,advantag* 
affect,adventur* 
posemo,adventur* 
drives,adventur* 
reward,adventur* 
affect,advers* 
negemo,advers* 
work,advertising 
social,advice 
bio,advil 
health,advil 
social,advis* 
work,advis* 
bio,aerobic* 
health,aerobic* 
leisure,aerobic* 
social,affair* 
verb,affect 
cogproc,affect 
cause,affect 
verb,affected 
cogproc,affected 
cause,affected 
focuspast,affected 
verb,affecting 
cogproc,affecting 
cause,affecting 
affect,affection* 
posemo,affection* 
verb,affects 
cogproc,affects 
cause,affects 
drives,affil* 
affiliation,affil* 
adj,affordable 
money,affordable 
adj,afraid 
affect,afraid 
negemo,afraid 
anx,afraid 
function,after 
prep,after 
adj,after 
compare,after 
relativ,after 
time,after 
relig,afterlife* 
relativ,aftermath* 
time,aftermath* 
relativ,afternoon* 
time,afternoon* 
cogproc,afterthought* 
insight,afterthought* 
relativ,afterthought* 
time,afterthought* 
relativ,afterward* 
time,afterward* 
function,again 
adverb,again 
relativ,again 
time,again 
function,against 
prep,against 
cogproc,against 
differ,against 
drives,age 
power,age 
relativ,age 
time,age 
relativ,aged 
time,aged 
work,agencies 
work,agency 
work,agent 
work,agents 
relativ,ages 
time,ages 
affect,aggravat* 
negemo,aggravat* 
anger,aggravat* 
cogproc,aggravat* 
cause,aggravat* 
affect,aggress 
negemo,aggress 
anger,aggress 
affect,aggressed 
negemo,aggressed 
anger,aggressed 
affect,aggresses 
negemo,aggresses 
anger,aggresses 
affect,aggressing 
negemo,aggressing 
anger,aggressing 
affect,aggression* 
negemo,aggression* 
anger,aggression* 
adj,aggressive 
affect,aggressive 
negemo,aggressive 
anger,aggressive 
affect,aggressively 
negemo,aggressively 
anger,aggressively 
affect,aggressor* 
negemo,aggressor* 
anger,aggressor* 
relativ,aging 
time,aging 
affect,agitat* 
negemo,agitat* 
anger,agitat* 
relig,agnost* 
focuspast,ago 
relativ,ago 
time,ago 
affect,agoniz* 
negemo,agoniz* 
sad,agoniz* 
affect,agony 
negemo,agony 
sad,agony 
affect,agree 
posemo,agree 
adj,agreeable 
affect,agreeable 
posemo,agreeable 
affect,agreeableness 
posemo,agreeableness 
affect,agreeably 
posemo,agreeably 
affect,agreed 
posemo,agreed 
affect,agreeing 
posemo,agreeing 
affect,agreement* 
posemo,agreement* 
affect,agrees 
posemo,agrees 
function,ahead 
prep,ahead 
drives,ahead 
achiev,ahead 
focusfuture,ahead 
relativ,ahead 
time,ahead 
bio,aids 
health,aids 
sexual,aids 
function,ain't 
auxverb,ain't 
negate,ain't 
verb,ain't 
cogproc,ain't 
differ,ain't 
focuspresent,ain't 
function,aint 
auxverb,aint 
negate,aint 
verb,aint 
